Billing Run: Billing Run Number,Billing Run: Number Of Invoices,total_times_second,avg_seconds_per_invoice
BR-00022607,1.0,0.285,0.285
BR-00022792,1.0,0.313,0.313
BR-00022782,1.0,0.227,0.227
BR-00022780,1.0,0.296,0.296
BR-00022806,1.0,0.259,0.259
BR-00022801,1.0,0.255,0.255
BR-00022789,1.0,0.416,0.416
BR-00022786,1.0,0.251,0.251
BR-00022776,1.0,0.251,0.251
BR-00022771,1.0,0.356,0.356
BR-00022755,1.0,0.275,0.275
BR-00022752,1.0,0.222,0.222
BR-00022751,1.0,0.328,0.328
BR-00022724,1.0,0.223,0.223
BR-00022719,1.0,0.188,0.188
BR-00022714,1.0,0.21,0.21
BR-00022703,1.0,0.332,0.332
BR-00022800,1.0,0.244,0.244
BR-00022772,1.0,0.336,0.336
BR-00022663,1.0,0.239,0.239
BR-00022773,1.0,0.316,0.316
BR-00022873,1.0,0.224,0.224
BR-00022848,1.0,0.296,0.296
BR-00022830,1.0,0.246,0.246
BR-00022824,1.0,0.884,0.884
BR-00022865,1.0,0.283,0.283
BR-00022864,1.0,0.293,0.293
BR-00022863,1.0,1.039,1.039
BR-00022861,1.0,0.304,0.304
BR-00022854,1.0,0.375,0.375
BR-00022852,1.0,0.208,0.208
BR-00022840,1.0,566.773,566.773
BR-00022826,1.0,0.244,0.244
BR-00022857,1.0,0.271,0.271
BR-00022836,1.0,0.218,0.218
BR-00022811,1.0,0.322,0.322
BR-00022813,1.0,0.237,0.237
BR-00022809,1.0,0.334,0.334
BR-00022672,1.0,0.238,0.238
BR-00022658,1.0,0.216,0.216
BR-00022594,1.0,0.242,0.242
BR-00022763,1.0,0.298,0.298
BR-00022732,1.0,0.283,0.283
BR-00022728,1.0,0.306,0.306
BR-00022723,1.0,0.234,0.234
BR-00022710,1.0,0.204,0.204
BR-00022698,1.0,0.29,0.29
BR-00022691,1.0,0.255,0.255
BR-00022668,1.0,0.366,0.366
BR-00022636,1.0,0.275,0.275
BR-00022631,1.0,0.25,0.25
BR-00022630,1.0,0.264,0.264
BR-00022625,1.0,0.283,0.283
BR-00022623,1.0,0.284,0.284
BR-00022622,1.0,0.244,0.244
BR-00022619,1.0,0.25,0.25
BR-00022606,1.0,0.353,0.353
BR-00022604,1.0,0.271,0.271
BR-00022601,1.0,0.457,0.457
BR-00022757,1.0,0.344,0.344
BR-00022590,1.0,0.334,0.334
BR-00022637,1.0,0.378,0.378
BR-00022591,1.0,3.192,3.192
BR-00022628,1.0,0.22,0.22
BR-00022608,1.0,0.279,0.279
BR-00022605,1.0,0.225,0.225
BR-00022599,1.0,0.222,0.222
BR-00022742,1.0,0.224,0.224
BR-00022741,1.0,0.248,0.248
BR-00022735,1.0,0.418,0.418
BR-00022725,1.0,0.24,0.24
BR-00022717,1.0,0.29,0.29
BR-00022713,1.0,0.242,0.242
BR-00022704,1.0,0.195,0.195
BR-00022694,1.0,0.2,0.2
BR-00022687,1.0,0.192,0.192
BR-00022638,1.0,0.288,0.288
BR-00022620,1.0,0.872,0.872
BR-00022616,1.0,16.006,16.006
BR-00022597,1.0,0.274,0.274
BR-00023003,1.0,0.258,0.258
